,mean,min,max
0,2.3899596,0.074052185,10.258949
1,1.8694717,-2.529862,10.573123
2,0.13151425,-4.646242,2.7090125
3,-0.16462755,-4.950842,3.3246908
4,-0.104599506,-4.8523297,3.5401673
5,-0.126242,-6.2939534,3.3331966
6,0.029112244,-7.3767123,6.048434
7,-0.015164878,-7.4455194,3.685146
8,0.07525923,-7.005506,4.0575147
9,0.17245914,-10.646365,4.926657
10,0.07025337,-8.712977,4.1111975
11,-0.033824474,-5.949136,3.293342
12,0.0007764277,-11.18444,4.1247826
13,-0.011185386,-11.230166,3.8972368
14,-0.047760446,-9.332293,5.2694573
15,0.0143758645,-9.688822,5.252837
16,-0.0057862694,-9.340624,3.928036
17,-0.071994305,-9.341358,3.9231088
18,-0.10295349,-9.613644,3.4213605
19,-0.004571939,-4.855476,3.207609
20,0.005435306,-9.174882,2.572553
21,0.007385067,-7.801674,2.6691864
22,0.027962958,-7.2475967,3.4805536
23,0.022164572,-8.52853,4.735441
24,-0.039354846,-7.5104947,6.1338487
25,-0.07293777,-9.360083,5.554862
26,-0.013974862,-12.813184,6.7919836
27,0.015362132,-9.748345,4.393776
28,-0.028171845,-11.418438,4.61424
29,0.07428008,-9.825535,4.223539
30,0.068095885,-13.256687,5.7597017
31,-0.05379572,-9.668806,4.9008207
32,-0.08233424,-9.407394,8.338611
33,-0.048702635,-10.313499,6.170588
34,-0.007020242,-6.3310103,5.1383324
35,0.0369081,-7.2204957,5.171838
36,0.024800895,-6.7140994,4.967186
37,0.07684347,-8.016061,4.838447
38,0.05268444,-14.185201,3.5410695
39,-0.0025958007,-11.674611,4.1902723
40,-0.074170865,-7.2255883,5.2453036
41,-0.03498906,-8.899848,3.505711
42,-0.04137812,-8.671257,5.077022
43,-0.00862986,-9.099021,5.0314183
44,-0.007371686,-11.23301,4.2369347
45,0.034241613,-8.6093235,6.6986723
46,0.013088628,-9.718507,4.3658023
47,-0.0010235506,-6.753948,6.3747745
48,0.03151179,-6.415674,4.804555
49,0.018546257,-7.924926,7.0834646
50,-0.040971983,-7.9094834,5.0333138
51,-0.014559097,-8.895634,5.834214
52,0.00494039,-6.8328223,5.9163694
53,0.005167263,-5.047522,3.6874685
54,0.01214888,-7.712813,3.4704268
55,0.03862118,-7.822061,5.807371
56,-0.0014375589,-6.996707,4.892109
57,-0.034323096,-9.421877,4.713038
58,-0.026945788,-5.5478296,3.7275696
59,-0.0035862536,-7.9987803,3.4856427
60,-0.0142041305,-6.945665,4.2899046
61,0.0063732425,-5.713053,4.735654
62,-0.015330935,-6.919225,4.189968
63,-0.009165344,-6.7664065,3.7824256
64,-0.04258227,-8.913699,4.84645
65,0.010574091,-10.385501,5.5107265
66,-0.0078401845,-7.953421,5.481493
67,0.024020726,-8.78951,4.9327993
68,0.010530849,-6.297437,5.0853615
69,0.039974652,-6.80887,3.7597542
70,-0.017670315,-5.071369,3.4094994
71,-0.011866831,-6.036658,3.7917652
72,0.0057081957,-5.3253965,3.2464218
73,0.017526995,-7.1891036,3.3664706
74,0.01631258,-5.8498344,3.5288396
75,0.007555659,-6.754568,3.146337
76,-0.01164051,-5.159325,3.1907752
77,8.2032275e-05,-4.29177,2.4323626
78,-0.033582017,-4.6830645,3.1806421
79,-0.047287446,-5.002561,3.4546733
80,-0.021125818,-4.781945,3.4582865
81,-0.0055929567,-5.761981,3.6304808
82,-0.032439545,-5.82229,3.4602227
83,0.023272753,-4.5561423,3.1548257
84,0.004247793,-6.813399,4.0582623
85,-0.032327626,-4.4955506,3.6741805
86,0.027165316,-5.364975,4.5200415
87,0.009620559,-5.0547314,4.35284
88,-0.022303298,-5.737764,4.018736
89,0.037330274,-5.7837405,6.221473
90,0.02444321,-5.910166,5.186744
91,0.005013408,-7.583277,4.5327992
92,-0.005238864,-4.968454,4.3919888
93,0.00037332543,-7.4285955,4.3493466
94,-0.03679922,-4.307007,3.0845177
95,0.00018525975,-4.008837,3.9510972
96,-0.0076012886,-4.7981687,3.2416508
97,-0.008974585,-3.8379667,2.3914387
98,-0.01897613,-3.280195,2.6003914
99,0.00028142685,-3.547122,3.3923616
100,-0.02583604,-3.3253388,2.8735452
101,-0.008573426,-3.019787,2.3367636
102,0.010503753,-3.5086186,3.0298634
103,-0.0069072493,-3.478883,3.542205
104,0.00042453973,-3.1781158,3.0745916
105,0.004532912,-3.8109512,2.6466289
106,-0.00721156,-4.6339955,3.8342538
107,-0.0065141893,-4.6022162,4.3280315
108,9.628599e-05,-3.981293,3.5983026
109,-0.00882304,-4.353309,3.487221
110,-0.006485949,-3.6028898,3.6246424
111,-0.0029790087,-3.1283407,3.1595674
112,-0.0037974485,-4.0792603,2.7082229
113,0.0054720365,-3.1122854,2.0612319
114,-0.0033997546,-2.660502,2.1637723
115,-0.00482912,-2.4420702,1.8935605
116,-0.016871702,-2.4191606,1.9721572
117,-0.01066658,-2.179307,2.0484385
118,0.0002832858,-1.6074808,1.7227994
119,-0.0022932254,-1.6551043,1.9274808
120,0.003985102,-2.0773056,1.4942644
121,0.001299108,-2.1275756,1.4745665
122,0.0017052736,-2.6859078,1.3644545
123,-0.006212182,-2.36067,1.7927685
124,-0.00094289327,-2.2807643,1.7617313
125,-0.006962327,-2.3299816,1.8442869
126,-0.0005951355,-2.595685,1.9243876
127,-0.005181435,-1.7878535,1.8357102
128,-0.0013454579,-1.5841506,1.7999207
129,-0.0007796785,-2.5969799,1.882537
130,-0.0051085646,-2.8983402,2.5912576
131,-0.0018526559,-2.5814316,2.0640202
132,-0.0033111772,-3.150502,1.9153224
133,-0.005529928,-3.895951,2.0613954
134,-0.0077250088,-1.8964276,2.2390463
135,0.0016824888,-2.112359,2.0744886
136,-0.01016766,-1.8183188,2.1243608
137,-0.008072548,-2.402644,2.6248808
138,-0.0026550095,-2.4818375,2.324802
139,-0.0009060844,-2.1586967,2.196108
140,-0.0035507057,-1.6119393,1.8422712
141,-0.0049806135,-5.5964932,1.8018732
142,-0.0040904633,-5.750996,2.3590558
143,-0.0018882018,-4.532976,3.3922086
144,-0.004497353,-4.2832727,2.5607123
145,-0.0054568206,-4.258845,2.7955935
146,0.0029728774,-4.3463635,3.2346425
147,-0.0009514376,-4.4738517,3.9355223
148,-0.0018193132,-4.54505,3.0831933
149,-0.0003445613,-5.2893915,2.8019636
150,-0.0005102236,-1.6778694,3.056551
151,-0.0032085443,-1.5991901,3.2617176
152,-0.0004893019,-1.7439653,3.300016
153,-0.00068618305,-2.7914362,3.295807
154,-0.0007263624,-3.818397,4.3385725
155,-0.0014300453,-4.030339,2.8481007
156,0.0017445921,-6.6926265,2.6832175
157,-0.00060506945,-4.778126,2.8725615
158,-0.0033588936,-4.182038,3.2357311
159,-0.002071427,-4.1061687,2.9529624
160,-0.0019832307,-4.2716365,2.7741039
161,-0.006259372,-3.5535307,3.4421058
162,-0.0018195858,-3.5551085,3.110192
163,-0.0017795579,-3.874986,3.3710346
164,-0.0011158361,-3.9571292,3.4152725
165,-0.001102714,-3.560628,3.6164596
166,0.00017507782,-3.868689,3.7454033
167,-0.00028835496,-3.9326706,3.280516
168,-0.0021913894,-3.1923168,2.7066288
169,-0.0019758926,-2.9716907,0.9948298
170,-0.0012948595,-2.8795605,1.276638
171,-0.0014119971,-5.3652673,1.0676006
172,-0.0014510759,-3.8349152,1.3970653
173,-0.0014066617,-2.7324617,1.0440793
174,-0.000796607,-2.9128513,1.2096735
175,-0.0012868403,-2.7364383,2.339651
176,0.0005062053,-2.9600651,2.6524537
177,-0.0006393877,-2.8736973,2.3010464
178,-0.00054208183,-2.1032653,2.2891688
179,-0.001767681,-2.2147338,2.261089
180,-0.00034015861,-1.994472,0.6746672
181,0.00158053,-1.5861906,5.9986186
182,-0.00030715097,-2.0510218,5.777413
183,-0.00073027436,-2.5828872,5.7488112
184,-0.00015502234,-1.8153731,5.7840104
185,-0.00044511553,-1.792016,5.7119617
186,-0.0025023606,-1.5790288,1.384138
187,-0.0002489869,-1.8658941,1.3203207
188,0.00015166223,-1.4509959,1.5773163
189,-0.00045059962,-1.5889472,1.7147409
190,-0.0009980819,-1.3475084,1.7281599
191,0.0020896664,-1.7135434,5.16867
192,-0.00034658256,-1.8440396,4.523212
193,0.00095141085,-1.7467543,2.4594607
194,0.0016066739,-1.7859449,2.552159
195,0.0010379247,-1.8575598,2.717988
196,-0.002120098,-2.2184987,0.8096973
197,1.301725e-05,-1.637093,1.1977276
198,-0.0018498197,-1.9993098,1.4818712
199,-0.0012284229,-2.1155806,1.4589183
200,0.00027082954,-1.4838479,1.3095174
201,-0.0004221492,-1.7873482,1.430527
202,-0.0005280771,-1.68665,0.9131699
203,-0.0005957229,-1.1362399,1.365484
204,-0.00064635504,-1.126328,0.7168693
205,0.000108838554,-0.98100597,0.97108805
206,-0.0011094871,-1.035454,0.9125695
207,-0.00086729735,-0.95791095,0.6789813
208,-0.00029661064,-1.0494273,1.083154
209,-3.4568762e-05,-0.9129158,0.9114748
210,-0.00040298482,-0.8692751,1.0347486
211,-0.000515546,-0.9727247,0.5310641
212,-0.00043686814,-0.8909873,0.90500283
213,0.00028613556,-1.1406753,0.64873314
214,-0.00023259665,-1.4023114,0.7696411
215,0.00014010811,-0.8655769,0.6613682
216,0.00019895061,-0.649964,0.6160027
217,0.0013121178,-0.7394525,0.69571716
218,-0.0019915742,-2.0054476,1.6771231
219,-0.0003595235,-2.5577602,2.2331452
220,0.0003350327,-2.1456873,2.3940406
221,-0.0011998051,-2.1603618,2.4803762
222,-0.00032271323,-1.9362679,2.0478632
223,-0.0006834902,-1.5553894,1.1130596
224,-0.000778166,-1.047905,0.76854306
225,-0.00054312265,-1.1471851,0.46610007
226,-0.0005520783,-0.76281106,0.64599663
227,-0.00021816487,-0.7962802,0.53246164
228,0.00043087584,-1.0578291,0.61232734
229,0.00026971806,-1.0346901,0.5156439
230,-0.0007466415,-0.888078,0.58630073
231,0.0008019304,-1.1323981,0.6743139
232,-0.00037752162,-0.95374316,0.5927298
233,-0.0003032956,-1.0928285,0.5774285
234,8.820682e-05,-1.1990464,0.5789092
235,-0.00045474377,-1.0128707,1.0150917
236,1.0496284e-07,-1.2570865,0.6114026
237,1.4902864e-05,-1.2357992,0.6031874
238,-0.00028228492,-0.69048893,0.54914886
239,1.1430621e-05,-0.94806623,0.55204695
240,-0.0008792003,-0.76518327,0.44100845
241,4.489262e-05,-0.91666496,0.64345914
242,-0.00039097553,-0.7968839,0.49697393
243,0.00013645146,-0.75276,0.5707249
244,-0.000514342,-0.7383618,0.44501185
245,-2.323895e-05,-0.8765753,0.6143871
246,-0.00015515726,-1.3203605,1.2075855
247,-9.429372e-05,-1.7192209,0.72174394
248,0.00021222827,-2.1839888,0.7550293
249,0.00088436296,-1.317552,0.788928
250,0.0001380408,-1.4985051,1.0003109
251,-0.000998315,-1.4341033,0.7684159
252,-0.0002245655,-1.9709003,0.73440814
253,-0.00039182993,-1.2869958,0.7063801
254,-0.00038050517,-0.7625461,0.5162641
255,-0.0005482835,-0.66364044,0.46924758
256,-2.8214761e-05,-0.7663928,0.5245164
257,-8.190067e-05,-0.710431,0.5273421
